id,price,airline,duration,travelDate,lookupDate
aY5J2vGYquSLU1JR9XRoIR004,291.95,B6,702,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00E,338.55,UA,794,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR003,339.60,SY,490,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR007,375.75,B6,598,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR001,382.25,B6,404,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR006,382.60,UA,581,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR008,405.72,B6,632,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00J,417.60,UA,686,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR002,428.10,UA,407,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00B,436.53,B6,606,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00C,453.15,B6,605,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00F,453.15,B6,701,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00I,493.72,B6,636,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR009,502.10,UA,539,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00A,502.10,UA,544,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00G,506.60,UA,597,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00K,506.60,UA,649,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR005,517.45,B6,409,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00D,618.10,VX,405,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
aY5J2vGYquSLU1JR9XRoIR00H,659.10,UA,395,"Thu, 26 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU001,273.10,B6,404,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU002,273.10,B6,409,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00B,306.60,AS,580,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU009,310.60,UA,527,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00C,310.60,UA,589,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU003,318.10,UA,395,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU005,318.10,UA,417,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU004,318.10,VX,405,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00H,335.60,UA,645,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00D,338.60,UA,545,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00J,350.60,UA,625,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00I,365.60,UA,585,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00E,365.60,UA,525,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU008,368.10,UA,419,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU006,368.10,UA,399,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU007,368.10,UA,407,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00F,376.60,B6,507,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00K,380.60,UA,565,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00A,428.10,UA,419,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
JVTu6vtrVwNTCOCdCOCWhU00G,498.10,UA,407,"Sun, 15 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0007,303.17,B6,716,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0001,330.26,B6,409,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0002,339.60,SY,490,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0004,376.60,SY,485,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0006,381.50,B6,606,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0003,444.66,B6,408,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000E,453.15,B6,702,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0009,453.15,B6,632,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000F,506.60,UA,592,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y000C,506.60,UA,554,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
InyvjiP1i31UPW8NkJZ4Y0008,506.60,UA,496,"Fri, 27 Nov 2015 05:00:00 GMT","Tue, 27 Oct 2015 18:40:09 GMT"
